Last Connect Timestamp	First Usage Timestamp	Last Usage Timestamp	Bundle Name	Process Name	Type	Wifi In (Bytes)	Wifi Out (Bytes)	Mobile/WWAN In (Bytes)	Mobile/WWAN Out (Bytes)	Wired In (Bytes)	Wired Out (Bytes)
2023-07-09 06:42:05	2023-07-09 06:42:05	2023-07-09 06:42:12	com.apple.MobileSMS	com.apple.MobileSMS	App	20340.0	10786.0	0.0	0.0	0.0	0.0
2023-07-09 06:42:10	2023-07-09 06:42:10	2023-07-09 10:42:25	com.apple.weather	com.apple.weather	App	52230.0	17872.0	21282.0	6466.0	0.0	0.0
2023-07-09 06:42:15	2023-07-09 06:42:15	2023-07-10 10:52:32	com.apple.Maps	com.apple.Maps	App	1620914.0	162276.0	280540.0	10242.0	0.0	0.0
2023-07-09 06:42:19	2023-07-09 06:42:19	2023-07-09 11:04:41	com.apple.shortcuts	com.apple.shortcuts	App	25777.0	15725.0	27165.0	19025.0	0.0	0.0
2023-07-09 06:42:22	2023-07-09 06:42:22	2023-07-10 11:32:14	com.apple.news	com.apple.news	App	1949567.0	121414.0	1043236.0	57283.0	0.0	0.0
2023-07-09 06:43:00	2023-07-09 06:43:00	2023-07-10 10:55:01		tipsd	Process	210662.0	16272.0	0.0	0.0	0.0	0.0
2023-07-09 06:43:12	2023-07-09 06:43:12	2023-07-09 11:04:03		promotedcontentd	Process	68604.0	21499.0	72213.0	24397.0	0.0	0.0
2023-07-09 06:43:59	2023-07-09 06:43:59	2023-07-09 06:44:15	com.apple.mobilenotes	com.apple.mobilenotes	App	104494.0	71218.0	0.0	0.0	0.0	0.0
2023-07-09 06:44:18	2023-07-09 06:44:18	2023-07-10 10:55:12	com.apple.MobileAddressBook	com.apple.MobileAddressBook	App	165264.0	121542.0	114097.0	98935.0	0.0	0.0
2023-07-09 06:45:40	2023-07-09 06:45:40	2023-07-09 06:47:42		mapspushd	Process	66315.0	20100.0	0.0	0.0	0.0	0.0
2023-07-09 06:45:53	2023-07-09 06:45:53	2023-07-09 06:47:54		voiced	Process	16981.0	5517.0	0.0	0.0	0.0	0.0
2023-07-09 06:46:16	2023-07-09 06:46:16	2023-07-09 09:15:48	com.jdtech.CalculatorVault	com.jdtech.CalculatorVault	App	3364107.0	439203.0	140445.0	46644.0	0.0	0.0
2023-07-09 06:46:18	2023-07-09 06:46:18	2023-07-09 06:46:18		EnforcementServi	Process	11945.0	3572.0	0.0	0.0	0.0	0.0
2023-07-09 06:46:44	2023-07-09 06:46:44	2023-07-09 10:42:26	com.apple.mobilesafari	com.apple.mobilesafari	App	788754.0	90255.0	22816886.0	2012271.0	0.0	0.0
2023-07-09 06:46:44	2023-07-09 06:46:44	2023-07-10 11:19:53		com.apple.Safari	Process	3952484.0	166604.0	8669.0	2760.0	0.0	0.0
2023-07-09 06:46:45	2023-07-09 06:46:45	2023-07-09 09:18:21		com.apple.WebKit	Process	1168.0	961.0	30618.0	18164.0	0.0	0.0
2023-07-09 06:49:14	2023-07-09 06:49:14	2023-07-09 09:17:47		mediaserverd	Process	34379.0	4050.0	11083.0	2350.0	0.0	0.0
2023-07-09 06:49:43	2023-07-09 06:49:43	2023-07-09 06:52:02		searchd	Process	10949.0	2748.0	0.0	0.0	0.0	0.0
2023-07-09 06:49:44	2023-07-09 06:49:44	2023-07-10 10:55:09	com.apple.mobilecal	com.apple.mobilecal	App	85619.0	56908.0	0.0	0.0	0.0	0.0
2023-07-09 06:52:07	2023-07-09 06:52:07	2023-07-09 06:59:22		wifid	Process	7017.0	3353.0	0.0	0.0	0.0	0.0
2023-07-09 08:44:13	2023-07-09 08:44:13	2023-07-10 10:49:04	com.apple.reminders	com.apple.reminders	App	110500.0	41138.0	81612.0	42158.0	0.0	0.0
2023-07-09 08:44:18	2023-07-09 08:44:18	2023-07-09 08:55:01		vmd	Process	0.0	0.0	298511.0	19765.0	0.0	0.0
2023-07-09 09:15:47	2023-07-09 09:15:47	2023-07-09 09:15:47	com.apple.springboard	com.apple.springboard	App	0.0	0.0	2385.0	570.0	0.0	0.0
2023-07-09 10:42:28	2023-07-09 10:42:28	2023-07-09 11:06:15	com.apple.Health	com.apple.Health	App	0.0	0.0	90308.0	66175.0	0.0	0.0
2023-07-09 10:46:25	2023-07-09 10:46:25	2023-07-09 10:48:24		ndoagent	Process	0.0	0.0	48545.0	18319.0	0.0	0.0
2023-07-09 10:47:21	2023-07-09 10:47:21	2023-07-10 11:01:59		healthappd	Process	22946.0	8374.0	71281.0	25579.0	0.0	0.0
2023-07-09 10:47:54	2023-07-09 10:47:54	2023-07-10 11:17:06		parsec-fbf	Process	16138.0	16243.0	57839.0	51684.0	0.0	0.0
2023-07-09 11:03:56	2023-07-09 11:03:56	2023-07-10 10:52:50		com.apple.bird	Process	11349.0	2472.0	116684.0	52940.0	0.0	0.0
2023-07-09 11:04:08	2023-07-09 11:04:08	2023-07-10 10:47:48	kjc.loader	kjc.loader	App	16913962.0	158956.0	12505.0	5481.0	0.0	0.0
2023-07-10 10:48:02	2023-07-10 10:48:02	2023-07-10 10:49:19	com.saurik.Cydia	com.saurik.Cydia	App	4829313.0	142416.0	0.0	0.0	0.0	0.0
2023-07-10 10:50:20	2023-07-10 10:50:20	2023-07-10 10:54:16		trustd	Process	3571400.0	151574.0	0.0	0.0	0.0	0.0
2023-07-10 10:52:34	2023-07-10 10:52:34	2023-07-10 10:53:12		com.apple.OTACrashCopier	Process	5532.0	3690.0	0.0	0.0	0.0	0.0
2023-07-10 10:53:38	2023-07-10 10:53:38	2023-07-10 10:53:51		com.apple.dprivacyd	Process	162100.0	72822.0	0.0	0.0	0.0	0.0
