Bundle ID	Type	Directory GUID	Path
com.apple.DiagnosticsService.Diagnostic-4184	PluginKitPlugin	2E83265A-50D1-4405-B7D9-D551864EE66B	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.MarkupUI.MarkupPrivateExtension	PluginKitPlugin	2F5EEB88-9B92-4C0B-B172-76FE07BFC9C5	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticExtensions.FaceTime	PluginKitPlugin	30021E0A-D373-4627-AAF8-85FF8BAD528E	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DataDetectorsUI.ActionsExtension	PluginKitPlugin	30D2C248-57B1-4AD1-9461-71F5E8E0BF1A	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.sidecar.extension.markup	PluginKitPlugin	31B5F7BA-6780-4FC8-B468-3F6D979F97F5	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.AuthKitUI.AKLocationSignInAlert	PluginKitPlugin	31C52064-3549-40FA-A5AE-50153C5B2F5C	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.Home.HomeNotification	PluginKitPlugin	324D8FC1-7483-473B-A7A8-8AC0E260E3E2	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.reminders.spotlightindexextension	PluginKitPlugin	32BACBA1-D180-45AE-B023-A3DBB2A5CC11	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.PassKit.applepay.diagnosticextension	PluginKitPlugin	33329891-01B1-4E19-9CFD-0C4BB0C34F1B	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.UserNotificationsUIKit.DefaultUIExtension	PluginKitPlugin	339F4707-F2C6-4C9F-AC3F-6A3F436ACB12	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.susuiservice.SUSUInstallAlertCFUserNotificationUIExtension	PluginKitPlugin	33B30B57-3D86-4F26-A4FA-8F282CFCD4D1	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4359	PluginKitPlugin	3422640C-A83B-48F0-9C42-DD41B39DD294	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.Passbook.QuicklookPreviewExtension	PluginKitPlugin	3551EBB0-2CE0-4D2C-BEA8-ED8927FE1F11	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.AppPredictionWidget.Siri.ActionPredictionNotificationContent	PluginKitPlugin	35E02A0B-0DC9-4025-905F-6CAC268C675E	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.CoreFollowUpUI.FollowUpSampleExtension	PluginKitPlugin	36243A25-BEC8-4D04-A270-395EFE53F2B7	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4008	PluginKitPlugin	362C945C-FC6E-4F76-80DA-E7B9A9DBD103	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.findmy.FindMyNotificationsContentExtension	PluginKitPlugin	370870D1-060B-422B-A3D8-7929B18BE82A	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.HealthMenstrualCyclesUI.NotificationContentExtension	PluginKitPlugin	372EB6C7-2BF2-4400-8810-072192D135FC	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.corelocation.CoreLocationTemporaryPreciseAuthPromptPlugin	PluginKitPlugin	37729B88-5DA6-4770-B879-ED999B2C65AE	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-8035	PluginKitPlugin	37A87BEF-74B9-457F-ABD3-30FC5DB36899	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.mobilecal.diagnosticextension	PluginKitPlugin	37AA06B5-2722-4534-B33D-4E6643779AFE	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4276	PluginKitPlugin	39FE926C-E454-496C-977C-12696B9C06EF	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.weather.WeatherIntents	PluginKitPlugin	3B8E055C-AD97-4660-8594-7672450ED250	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4009	PluginKitPlugin	3BC11C33-1770-4630-9DFC-0DE5E3B71EF6	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4351	PluginKitPlugin	3C733564-8AD8-469E-854E-4D0D007CCD08	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-3909	PluginKitPlugin	3CA53666-0029-46C4-8DF1-13135E923FDF	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.Music.Messages	PluginKitPlugin	3E3DEC52-6D9B-4680-9B22-21AF85DEF8FE	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-3985	PluginKitPlugin	3E71D8C0-313C-46BF-896A-45D6B0AA2F17	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DocumentManagerUICore.RecentsAvocado	PluginKitPlugin	3FBFD98D-3E20-47FE-A3A4-FE16556AE7FE	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-8276	PluginKitPlugin	4023C796-E674-4DCD-B504-FD89C7BA0BA3	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.MobileBackup.framework.DiagnosticExtension	PluginKitPlugin	402BEA18-E34F-431F-9403-B1F7DDB4BE3D	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.Health.ShareExtension	PluginKitPlugin	4164AA6A-88C9-4DA0-B887-3AAABD9BA186	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.MobileStore.MusicStoreNotificationContentPlugin	PluginKitPlugin	41F5E560-B694-4206-A99F-9BF92CA026DE	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-3903	PluginKitPlugin	421A07DB-1086-4BA4-B06B-977F726CC97E	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticExtensions.BackgroundAppRefresh	PluginKitPlugin	421E9A6C-BA84-4669-B5BA-130759B20790	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.mobiletimer.MobileTimerNotificationExtension	PluginKitPlugin	439C4AF6-54F9-48A2-A1C3-C2E93BBA8471	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.VideoSubscriberAccount.VideoSubscriberAccountUIFramework.AuthenticationExtension	PluginKitPlugin	43B6AB9A-B9F7-42DB-B0E7-206F0998688B	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.CloudDocsDaemon.diagnostic	PluginKitPlugin	43BE2B19-767C-4B63-9991-19E14AF6D069	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.HangTracer.PerformanceLoggingDiagnosticExtension	PluginKitPlugin	449312AF-7994-4A3B-B31F-16519ED2A956	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.CloudDocs.MobileDocumentsFileProviderUI	PluginKitPlugin	44ECA677-FF4B-4C65-8F0A-422BC73F095D	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4181	PluginKitPlugin	454F43A7-6DEF-47C8-8259-AE1B672D6862	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.AppStoreDaemon.ASDAskPermissionExtension	PluginKitPlugin	455D1D89-5226-4B84-B651-3F4D67505500	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.FileProviderUI.ServerAuthUIExtension	PluginKitPlugin	46174649-F382-4339-80E6-534A3B1F80ED	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4615	PluginKitPlugin	46227FE4-32FA-45DB-B2BA-6B1C8EC6E1B9	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticExtensions.LowMemory	PluginKitPlugin	4717C699-75FD-43F5-B129-9342042FBCE0	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.SystemReport	PluginKitPlugin	4719924A-45DF-487C-8FE3-826BDE05BA97	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-8134	PluginKitPlugin	4731BD01-FBA3-4273-BD5C-161216E590DB	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
